path,source_root,source_kind,file_count,logical_bytes,hashed_count,hashed_bytes,model_count,nonregular_count,error_count
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_cv_m5_n2_cooperative_live_20260711,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,160,15610494,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_cv_m5_n2_liveness_batch_20260711,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,6,3606991,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_cv_m5_n2_liveness_batch_20260711_seed017,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,159,31030916,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_cv_m5_n2_liveness_batch_20260711_seed027,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,159,31039069,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_cv_m5_n2_liveness_seed7_20260711,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,160,32887474,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_cv_m5_n2_replan_convergence_seed7_20260711,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,160,34566319,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_cv_m5_n2_replan_cooldown_seed7_20260711,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,160,33981585,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_cv_m5_n2_snapshot_scope_seed7_20260711,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,160,33994061,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_ground_stability_probe_001,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,12,3475327,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_integrated_probe_001,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,26,3076201,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_minimal_docs_probe_001,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,2,147029,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_minimal_docs_probe_002,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,4,445254,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_minimal_nodisplay_001,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,1,139735,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_minimal_nullrhi_001,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,1,46920,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_minimal_rpc_001,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,1,5785104,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_sequence_probe_001,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,2,165232,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_sequence_probe_002,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,106,6144124,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_smoke_docs_probe_001,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,4,475449,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_smoke_docs_probe_002,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,4,476819,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_smoke_inactive_001,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,1,0,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_smoke_inactive_002,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,1,5827728,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_smoke_p0p1_probe_001,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,26,871204,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_smoke_real_001,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,1,132496,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_smoke_real_002,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,1,134781,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/blocks_smoke_user_settings_001,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,1,134730,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/cv5v5_camera_pose_d6_report,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,26,935998,0,0,0,0,0
