document,table_index,section,table_line,row,column,reported,source,selector,source_row,source_fields,source_values,expected,status
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,9,处理耗时P95,7.410秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:73,72,"[""runtime_s_p95""]","{""runtime_s_p95"": ""7.4104483792441895""}",7.410秒,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,9,达到80%的批数,10/10,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:73,72,"[""seeds_precision_and_recall_gte_0_80"", ""seed_count""]","{""seeds_precision_and_recall_gte_0_80"": ""10"", ""seed_count"": ""10""}",10/10,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,10,关联准确度,96.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:74,73,"[""binding_precision_mean""]","{""binding_precision_mean"": ""0.96""}",96.0%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,10,关联覆盖度,6.7%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:74,73,"[""binding_recall_mean""]","{""binding_recall_mean"": ""0.06666666666666668""}",6.7%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,10,处理耗时P95,1.119秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:74,73,"[""runtime_s_p95""]","{""runtime_s_p95"": ""1.1192522032433772""}",1.119秒,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,10,达到80%的批数,0/10,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:74,73,"[""seeds_precision_and_recall_gte_0_80"", ""seed_count""]","{""seeds_precision_and_recall_gte_0_80"": ""0"", ""seed_count"": ""10""}",0/10,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,11,关联准确度,99.7%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:89,88,"[""binding_precision_mean""]","{""binding_precision_mean"": ""0.9966666666666667""}",99.7%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,11,关联覆盖度,99.2%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:89,88,"[""binding_recall_mean""]","{""binding_recall_mean"": ""0.9916666666666668""}",99.2%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,11,处理耗时P95,6.679秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:89,88,"[""runtime_s_p95""]","{""runtime_s_p95"": ""6.678802088601515""}",6.679秒,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,11,达到80%的批数,10/10,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:89,88,"[""seeds_precision_and_recall_gte_0_80"", ""seed_count""]","{""seeds_precision_and_recall_gte_0_80"": ""10"", ""seed_count"": ""10""}",10/10,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,12,关联准确度,96.3%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:90,89,"[""binding_precision_mean""]","{""binding_precision_mean"": ""0.9633333333333333""}",96.3%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,12,关联覆盖度,7.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:90,89,"[""binding_recall_mean""]","{""binding_recall_mean"": ""0.07""}",7.0%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,12,处理耗时P95,1.146秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:90,89,"[""runtime_s_p95""]","{""runtime_s_p95"": ""1.1463054863481374""}",1.146秒,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,12,达到80%的批数,0/10,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:90,89,"[""seeds_precision_and_recall_gte_0_80"", ""seed_count""]","{""seeds_precision_and_recall_gte_0_80"": ""0"", ""seed_count"": ""10""}",0/10,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,1,关联准确度,100.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:11,10,"[""binding_precision_mean""]","{""binding_precision_mean"": ""1.0""}",100.0%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,1,关联覆盖度,97.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:11,10,"[""binding_recall_mean""]","{""binding_recall_mean"": ""0.97""}",97.0%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,1,处理耗时P95,0.758秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:11,10,"[""runtime_s_p95""]","{""runtime_s_p95"": ""0.7576563971488213""}",0.758秒,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,1,达到80%的批数,10/10,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:11,10,"[""seeds_precision_and_recall_gte_0_80"", ""seed_count""]","{""seeds_precision_and_recall_gte_0_80"": ""10"", ""seed_count"": ""10""}",10/10,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,2,关联准确度,80.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:12,11,"[""binding_precision_mean""]","{""binding_precision_mean"": ""0.8""}",80.0%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,2,关联覆盖度,8.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:12,11,"[""binding_recall_mean""]","{""binding_recall_mean"": ""0.08""}",8.0%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,2,处理耗时P95,0.167秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:12,11,"[""runtime_s_p95""]","{""runtime_s_p95"": ""0.16743951785174432""}",0.167秒,match
