detection_uid,camera_id,frame_index,measurement_timestamp,truth_id,raw_detection_name,truth_assignment_pixel_error,relative_pose,box3d,offline_truth_only
Optical_B-F00225-D004,Optical_B,225,2.25,TRUTH-026,MSM_DualOptical_Target_026,0.9684757945930946,"{""orientation_xyzw"": [-0.0, 0.0, 0.957679033279419, 0.2878381609916687], ""position"": [1961.9302978515625, -972.8966674804688, 111.35553741455078]}","{""max"": [1962.486572265625, -971.2276611328125, 111.09744262695312], ""min"": [1961.3739013671875, -974.5657348632812, 111.76480102539062]}",True
Optical_A-F00226-D000,Optical_A,226,2.2600000000000002,TRUTH-012,MSM_DualOptical_Target_012,1.0922076699751089,"{""orientation_xyzw"": [0.0, -0.0, -0.9824944734573364, 0.18629151582717896], ""position"": [1724.49609375, 987.54248046875, 95.18427276611328]}","{""max"": [1726.181884765625, 988.046142578125, 94.92617797851562], ""min"": [1722.810302734375, 987.0387573242188, 95.59354400634766]}",True
Optical_A-F00226-D001,Optical_A,226,2.2600000000000002,TRUTH-013,MSM_DualOptical_Target_013,1.0758624702104997,"{""orientation_xyzw"": [0.0, -0.0, -0.9530397057533264, 0.3028455376625061], ""position"": [1750.8734130859375, 979.6234130859375, 97.6869888305664]}","{""max"": [1752.5592041015625, 980.1271362304688, 97.42889404296875], ""min"": [1749.1876220703125, 979.1197509765625, 98.09626007080078]}",True
Optical_A-F00226-D002,Optical_A,226,2.2600000000000002,TRUTH-018,MSM_DualOptical_Target_018,0.9250694558363812,"{""orientation_xyzw"": [0.0, -0.0, -0.9824944734573364, 0.18629151582717896], ""position"": [2037.337158203125, 998.8499755859375, 89.94412231445312]}","{""max"": [2039.02294921875, 999.3536987304688, 89.68601989746094], ""min"": [2035.6514892578125, 998.3463745117188, 90.35338592529297]}",True
Optical_A-F00226-D003,Optical_A,226,2.2600000000000002,TRUTH-023,MSM_DualOptical_Target_023,0.9058039655417243,"{""orientation_xyzw"": [0.0, -0.0, -0.9530397057533264, 0.3028455376625061], ""position"": [2095.873779296875, 1051.0447998046875, 104.60172271728516]}","{""max"": [2097.559326171875, 1051.5484619140625, 104.3436279296875], ""min"": [2094.18798828125, 1050.541015625, 105.01099395751953]}",True
Optical_B-F00226-D000,Optical_B,226,2.2600000000000002,TRUTH-019,MSM_DualOptical_Target_019,0.7620946521426749,"{""orientation_xyzw"": [-0.0, 0.0, 0.9878612160682678, 0.15533864498138428], ""position"": [2476.457763671875, -990.9776611328125, 92.07914733886719]}","{""max"": [2477.06640625, -989.3267211914062, 91.82105255126953], ""min"": [2475.849365234375, -992.6284790039062, 92.48841857910156]}",True
Optical_B-F00226-D001,Optical_B,226,2.2600000000000002,TRUTH-021,MSM_DualOptical_Target_021,0.7747391148996362,"{""orientation_xyzw"": [-0.0, 0.0, 0.9878612160682678, 0.15533864498138428], ""position"": [2435.646484375, -967.581787109375, 90.01475524902344]}","{""max"": [2436.2548828125, -965.9309692382812, 89.75666046142578], ""min"": [2435.037841796875, -969.2326049804688, 90.42401885986328]}",True
Optical_B-F00226-D002,Optical_B,226,2.2600000000000002,TRUTH-026,MSM_DualOptical_Target_026,0.9685908980067155,"{""orientation_xyzw"": [-0.0, 0.0, 0.9620820879936218, 0.27276015281677246], ""position"": [1961.3880615234375, -1034.7978515625, 111.35553741455078]}","{""max"": [1961.9964599609375, -1033.14697265625, 111.09744262695312], ""min"": [1960.779541015625, -1036.4486083984375, 111.76480102539062]}",True
Optical_B-F00226-D003,Optical_B,226,2.2600000000000002,TRUTH-030,MSM_DualOptical_Target_030,1.0213614596685954,"{""orientation_xyzw"": [-0.0, 0.0, 0.9620820879936218, 0.27276015281677246], ""position"": [1860.4013671875, -1008.7777709960938, 115.85449981689453]}","{""max"": [1861.010009765625, -1007.1270141601562, 115.59640502929688], ""min"": [1859.792724609375, -1010.4286499023438, 116.26376342773438]}",True
Optical_A-F00227-D000,Optical_A,227,2.27,TRUTH-023,MSM_DualOptical_Target_023,0.9056054702314231,"{""orientation_xyzw"": [0.0, -0.0, -0.9481651186943054, 0.3177778124809265], ""position"": [2096.043701171875, 985.4868774414062, 104.60172271728516]}","{""max"": [2097.744384765625, 985.9373168945312, 104.3436279296875], ""min"": [2094.343017578125, 985.0362548828125, 105.01099395751953]}",True
Optical_A-F00227-D001,Optical_A,227,2.27,TRUTH-027,MSM_DualOptical_Target_027,0.8220479289206226,"{""orientation_xyzw"": [0.0, -0.0, -0.9481651186943054, 0.3177778124809265], ""position"": [2293.123046875, 1000.9627075195312, 95.71681213378906]}","{""max"": [2294.823974609375, 1001.4132690429688, 95.4587173461914], ""min"": [2291.42236328125, 1000.5122680664062, 96.12608337402344]}",True
Optical_A-F00227-D002,Optical_A,227,2.27,TRUTH-028,MSM_DualOptical_Target_028,0.8165428461464762,"{""orientation_xyzw"": [0.0, -0.0, -0.979447066783905, 0.20170128345489502], ""position"": [2324.408203125, 1001.5560913085938, 108.63809204101562]}","{""max"": [2326.109130859375, 1002.006591796875, 108.37999725341797], ""min"": [2322.70751953125, 1001.1055908203125, 109.04736328125]}",True
Optical_A-F00227-D003,Optical_A,227,2.27,TRUTH-031,MSM_DualOptical_Target_031,0.7812900485711534,"{""orientation_xyzw"": [0.0, -0.0, -0.9481651186943054, 0.3177778124809265], ""position"": [2413.47216796875, 1047.2867431640625, 92.12174224853516]}","{""max"": [2415.173095703125, 1047.7373046875, 91.8636474609375], ""min"": [2411.771728515625, 1046.8363037109375, 92.53101348876953]}",True
Optical_A-F00227-D004,Optical_A,227,2.27,TRUTH-036,MSM_DualOptical_Target_036,0.6946569863747645,"{""orientation_xyzw"": [0.0, -0.0, -0.979447066783905, 0.20170128345489502], ""position"": [2722.165771484375, 986.9728393554688, 99.88982391357422]}","{""max"": [2723.866455078125, 987.42333984375, 99.63172912597656], ""min"": [2720.46484375, 986.5223999023438, 100.29908752441406]}",True
Optical_B-F00227-D000,Optical_B,227,2.27,TRUTH-021,MSM_DualOptical_Target_021,0.7747406892415548,"{""orientation_xyzw"": [-0.0, 0.0, 0.9901793003082275, 0.13980311155319214], ""position"": [2434.982177734375, -1044.2410888671875, 90.01475524902344]}","{""max"": [2435.642333984375, -1042.6102294921875, 89.75666046142578], ""min"": [2434.322265625, -1045.8720703125, 90.42401885986328]}",True
Optical_B-F00227-D001,Optical_B,227,2.27,TRUTH-022,MSM_DualOptical_Target_022,0.738466783778352,"{""orientation_xyzw"": [-0.0, 0.0, 0.9662477374076843, 0.2576146125793457], ""position"": [2569.822021484375, -946.2326049804688, 117.06352996826172]}","{""max"": [2570.482177734375, -944.6016845703125, 116.80543518066406], ""min"": [2569.161865234375, -947.8634643554688, 117.4728012084961]}",True
Optical_B-F00227-D002,Optical_B,227,2.27,TRUTH-027,MSM_DualOptical_Target_027,0.8748058235167852,"{""orientation_xyzw"": [-0.0, 0.0, 0.9901793003082275, 0.13980311155319214], ""position"": [2155.4423828125, -1006.4104614257812, 95.71681213378906]}","{""max"": [2156.1025390625, -1004.7794189453125, 95.4587173461914], ""min"": [2154.7822265625, -1008.0413208007812, 96.12608337402344]}",True
Optical_B-F00227-D003,Optical_B,227,2.27,TRUTH-028,MSM_DualOptical_Target_028,0.8734609249852917,"{""orientation_xyzw"": [-0.0, 0.0, 0.9662477374076843, 0.2576146125793457], ""position"": [2173.73876953125, -981.0263061523438, 108.63809204101562]}","{""max"": [2174.398681640625, -979.3953857421875, 108.37999725341797], ""min"": [2173.07861328125, -982.6572265625, 109.04736328125]}",True
Optical_A-F00228-D000,Optical_A,228,2.2800000000000002,TRUTH-015,MSM_DualOptical_Target_015,1.1497257523475504,"{""orientation_xyzw"": [0.0, -0.0, -0.9430566430091858, 0.3326321244239807], ""position"": [1652.88818359375, 976.9927978515625, 101.57621765136719]}","{""max"": [1654.602294921875, 977.3895874023438, 101.31812286376953], ""min"": [1651.174072265625, 976.5958862304688, 101.98548889160156]}",True
Optical_A-F00228-D001,Optical_A,228,2.2800000000000002,TRUTH-026,MSM_DualOptical_Target_026,0.9022948954287208,"{""orientation_xyzw"": [0.0, -0.0, -0.9761580228805542, 0.2170611023902893], ""position"": [2104.7900390625, 1038.1676025390625, 111.35553741455078]}","{""max"": [2106.504150390625, 1038.564453125, 111.09744262695312], ""min"": [2103.075927734375, 1037.770751953125, 111.76480102539062]}",True
Optical_A-F00228-D002,Optical_A,228,2.2800000000000002,TRUTH-031,MSM_DualOptical_Target_031,0.7816406478156487,"{""orientation_xyzw"": [0.0, -0.0, -0.9430566430091858, 0.3326321244239807], ""position"": [2413.377685546875, 971.7667846679688, 92.12174224853516]}","{""max"": [2415.091552734375, 972.1637573242188, 91.8636474609375], ""min"": [2411.66357421875, 971.3700561523438, 92.53101348876953]}",True
