frame_index,timestamp,camera_id,camera_owner,camera_role,detector_backend,online_detection_count,offline_visible_target_count,offline_matched_detection_count
43,10.75,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
43,10.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
44,11.0,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,4,5,4
44,11.0,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,5,3
44,11.0,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,4,0,0
44,11.0,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,5,2
44,11.0,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
44,11.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
45,11.25,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,5,2
45,11.25,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,5,3
45,11.25,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
45,11.25,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,5,2
45,11.25,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
45,11.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
46,11.5,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,5,2
46,11.5,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,4,4,2
46,11.5,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,0,5,0
46,11.5,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,5,2
46,11.5,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
46,11.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
47,11.75,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,5,5,5
47,11.75,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,5,3
47,11.75,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,0,5,0
47,11.75,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
47,11.75,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
47,11.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
48,12.0,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,3,5,3
48,12.0,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,4,5,4
48,12.0,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
48,12.0,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,1,5,1
48,12.0,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
48,12.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
