frame_index,timestamp,camera_id,camera_owner,camera_role,detector_backend,online_detection_count,offline_visible_target_count,offline_matched_detection_count
44,11.0,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
44,11.0,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
44,11.0,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
44,11.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
45,11.25,D5_Primary_1:0,D5_Primary_1,primary,airsim,5,5,5
45,11.25,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
45,11.25,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
45,11.25,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
45,11.25,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
45,11.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
46,11.5,D5_Primary_1:0,D5_Primary_1,primary,airsim,5,5,5
46,11.5,D5_Primary_2:0,D5_Primary_2,primary,airsim,4,4,4
46,11.5,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
46,11.5,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
46,11.5,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
46,11.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
47,11.75,D5_Primary_1:0,D5_Primary_1,primary,airsim,5,5,5
47,11.75,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
47,11.75,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
47,11.75,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
47,11.75,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
47,11.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
48,12.0,D5_Primary_1:0,D5_Primary_1,primary,airsim,5,5,5
48,12.0,D5_Primary_2:0,D5_Primary_2,primary,airsim,4,4,4
48,12.0,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
48,12.0,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
48,12.0,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
48,12.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
